InputSize,Memory,Time
4,10732,0.02
8,10820,0.02
16,10892,0.02
32,10836,0.02
64,10896,0.02
128,11440,0.03
256,13508,0.03
512,25788,0.08
1024,74384,0.36
2048,267688,1.68
4096,1044116,8.22
8192,4139308,40.34
