InputSize,Memory,Time
4,10804,0.03
8,10820,0.02
16,10800,0.02
32,10860,0.02
64,10932,0.02
128,11428,0.03
256,13276,0.03
512,24804,0.09
1024,70156,0.38
2048,251332,1.72
4096,976156,7.98
8192,3875984,41.05
