InputSize,Memory,Time
4,10800,0.04
8,10884,0.04
16,10888,0.03
32,10908,0.04
64,10924,0.04
128,11576,0.04
256,13628,0.05
512,25556,0.12
1024,73544,0.52
2048,264436,1.78
4096,1030244,7.50
8192,4086968,35.34
