InputSize,Memory,Time
4,10812,0.04
8,10748,0.03
16,10840,0.04
32,10816,0.04
64,10880,0.05
128,11516,0.04
256,13312,0.05
512,24900,0.12
1024,70028,0.59
2048,251252,2.07
4096,976160,8.61
8192,3876116,45.31
