InputSize,Memory,Time
4,12400,0.04
8,10788,0.02
16,10784,0.02
32,10900,0.02
64,11068,0.02
128,11776,0.03
256,14636,0.04
512,30268,0.10
1024,91852,0.48
2048,347368,2.39
4096,1327744,8.60
8192,5271568,54.09
