InputSize,Memory,Time
4,10752,0.02
8,10888,0.03
16,10816,0.02
32,10796,0.03
64,10948,0.03
128,11776,0.03
256,14636,0.04
512,30204,0.09
1024,91752,0.44
2048,347652,2.00
4096,1327500,9.00
8192,5272824,45.82
