InputSize,Memory,Time
4,12336,0.05
8,10760,0.04
16,10764,0.04
32,10864,0.04
64,10892,0.04
128,11436,0.04
256,13528,0.06
512,25804,0.13
1024,74364,0.57
2048,267768,0.61
4096,1042364,9.41
8192,4139568,44.88
