InputSize,Memory,Time
4,10856,0.03
8,10740,0.04
16,10868,0.04
32,10820,0.03
64,10988,0.03
128,11416,0.04
256,13300,0.04
512,24904,0.11
1024,70060,0.53
2048,251160,2.16
4096,977456,9.03
8192,3875464,43.72
